stimulus,DMOS
rafa_VPCC_1,3.55
rafa_VPCC_2,4.95
rafa_VPCC_3,5.1
rafa_GPCC_1,3.05
rafa_GPCC_2,4.2
rafa_GPCC_3,4.65
rafa_CWIPC_1,3.15
rafa_CWIPC_2,4.35
rafa_CWIPC_3,4.75
dancer_VPCC_1,2.45
dancer_VPCC_2,3.7
dancer_VPCC_3,4.55
dancer_GPCC_1,1.15
dancer_GPCC_2,3.6
dancer_GPCC_3,4.55
dancer_CWIPC_1,1.85
dancer_CWIPC_2,4.05
dancer_CWIPC_3,4.5
exercise_VPCC_1,2.55
exercise_VPCC_2,3.8
exercise_VPCC_3,4.7
exercise_GPCC_1,1.35
exercise_GPCC_2,3.55
exercise_GPCC_3,4.3
exercise_CWIPC_1,1.75
exercise_CWIPC_2,3.85
exercise_CWIPC_3,4.35
longdress_VPCC_1,2.55
longdress_VPCC_2,4.2
longdress_VPCC_3,5.05
longdress_GPCC_1,1.7
longdress_GPCC_2,3.7
longdress_GPCC_3,4.85
longdress_CWIPC_1,1.8
longdress_CWIPC_2,3.65
longdress_CWIPC_3,4.8
soldier_VPCC_1,2.65
soldier_VPCC_2,3.5
soldier_VPCC_3,4.5
soldier_GPCC_1,1.45
soldier_GPCC_2,3.7
soldier_GPCC_3,4.75
soldier_CWIPC_1,1.5
soldier_CWIPC_2,3.65
soldier_CWIPC_3,3.65
