stimulus,MOS
rafa,2.95
rafa_VPCC_1,1.5
rafa_VPCC_2,2.9
rafa_VPCC_3,3.05
rafa_GPCC_1,1
rafa_GPCC_2,2.15
rafa_GPCC_3,2.6
rafa_CWIPC_1,1.1
rafa_CWIPC_2,2.3
rafa_CWIPC_3,2.7
dancer,4.85
dancer_VPCC_1,2.3
dancer_VPCC_2,3.55
dancer_VPCC_3,4.4
dancer_GPCC_1,1
dancer_GPCC_2,3.45
dancer_GPCC_3,4.4
dancer_CWIPC_1,1.7
dancer_CWIPC_2,3.9
dancer_CWIPC_3,4.35
exercise,4.7
exercise_VPCC_1,2.25
exercise_VPCC_2,3.5
exercise_VPCC_3,4.4
exercise_GPCC_1,1.05
exercise_GPCC_2,3.25
exercise_GPCC_3,4
exercise_CWIPC_1,1.45
exercise_CWIPC_2,3.55
exercise_CWIPC_3,4.05
longdress,4.35
longdress_VPCC_1,1.9
longdress_VPCC_2,3.55
longdress_VPCC_3,4.4
longdress_GPCC_1,1.05
longdress_GPCC_2,3.05
longdress_GPCC_3,4.2
longdress_CWIPC_1,1.15
longdress_CWIPC_2,3
longdress_CWIPC_3,4.15
soldier,4.55
soldier_VPCC_1,2.2
soldier_VPCC_2,3.05
soldier_VPCC_3,4.05
soldier_GPCC_1,1
soldier_GPCC_2,3.25
soldier_GPCC_3,4.3
soldier_CWIPC_1,1.05
soldier_CWIPC_2,3.2
soldier_CWIPC_3,4.2
